attr_feature_industry,attr_feature_regcap,attr_feature_n1,attr_feature_n2,attr_feature_n3,attr_feature_n4,attr_feature_c1,attr_feature_c2,attr_feature_c3,attr_feature_c4,attr_feature_sum_c1j,attr_feature_sum_c2j,attr_feature_sum_c3j,attr_feature_sum_c4j,attr_feature_rho1,attr_feature_rho2,attr_feature_rho3,attr_feature_rho4,attr_feature_beta1,attr_feature_beta2,attr_feature_beta3,attr_feature_beta4,attr_feature_1degree_num,attr_feature_2degree_num,attr_feature_MMWY_num,attr_feature_JDWY_num,attr_feature_JYYC_num,attr_feature_peroson_invest_num,attr_feature_fr_invest_num,attr_feature_SUPERVISOR_num,attr_feature_EXECUTIVE_num,attr_feature_DIRECTOR_num,attr_feature_LEGAL_num,attr_feature_L_E_num,attr_feature_L_S_num,attr_feature_L_D_num,attr_feature_D_S_num,attr_feature_D_E_num,attr_feature_S_E_num,attr_feature_L_E_D_num,attr_feature_L_E_S_num,attr_feature_L_D_S_num,attr_feature_E_D_S_num,attr_feature_L_E_D_S_num,company_name,node_id
信息传输、软件和信息技术服务业,50000000.0,3,3,1,1,0,0,0,0,3,3,1,1,0.0,0.0,0.0,0,1,1.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,华镇（北京）信息技术有限公司,a54b75716d174d84b6b8c561ab5598e6
批发和零售业,10000000.0,2,2,2,7,0,0,0,0,2,2,2,7,0.0,0.0,0.0,0,1,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,昆明多铼发贵重金属贸易有限公司,917be46278e841289938b4ae0218414a
租赁和商务服务业,50000000.0,4,15,74,531,0,0,27,0,4,15,74,598,0.0,0.0,0.009996298,0,1,1.0,1.0,1.126177024,4.0,15.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,深圳合众财富金融投资管理有限公司,156cbf5094ff46c4bf0e7bacf43bb0df
批发和零售业,0.0,1,6,20,74,0,3,5,0,1,6,24,99,0.0,0.2,0.026315789,0,1,1.0,1.2,1.337837838,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,华融（天津）贵金属经营有限公司天水分公司,60d04273679044e6b1d790d6bfbe261c
租赁和商务服务业,5000000.0,2,1,0,0,0,0,0,0,2,2,0,0,0.0,0.0,0.0,0,1,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,惠州市艺商文化投资发展有限公司,399016936b004eb2b561769f5032bd3a
租赁和商务服务业,10000000.0,4,54,203,505,2,17,36,0,4,56,316,954,0.333333333,0.011879804,0.001755841,0,1,1.037037037,1.556650246,1.889108911,4.0,54.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,广东喜悦投资有限公司,76827687f36d4f91be174a52039bb065
租赁和商务服务业,10000000.0,6,23,62,177,1,0,11,0,6,25,67,197,0.066666667,0.0,0.005817028,0,1,1.086956522,1.080645161,1.11299435,6.0,23.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,贵州海源财富投资管理有限公司,9de68b961f7d4cc78b49a2510011ee4f
批发和零售业,500000.0,2,2,2,0,0,0,0,0,2,2,2,0,0.0,0.0,0.0,0,1,1.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,武汉圣高电子商务有限公司,ec3e38051e4f45329f0dada48ef95f60
信息传输、软件和信息技术服务业,10000000.0,3,3,10,29,0,0,0,0,3,4,10,31,0.0,0.0,0.0,0,1,1.333333333,1.0,1.068965517,3.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,江苏麦金莱网络科技有限公司,31d4c471b4e6443a8f25debe4ae2a1fd
租赁和商务服务业,30000000.0,5,11,21,84,0,2,2,0,5,13,25,108,0.0,0.036363636,0.00952381,0,1,1.181818182,1.19047619,1.285714286,5.0,11.0,0.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,宋财（杭州）互联网金融服务有限公司,f3ec1cc492024c72b6d1c62c6399e2ae
